Date, Open, High, Low, Close, Shares Traded, Turnover
25-APR-2013,2081.85,2099.6,2078.6,2085.95,237962732,2290.89
26-APR-2013,2089.1,2102.2,2056.55,2060.65,175126737,1566.12
29-APR-2013,2064.8,2103.8,2062.9,2095.35,157661500,1484.63
30-APR-2013,2104.15,2112.65,2053.7,2089.2,197172877,1798.35
02-MAY-2013,2087.55,2128.9,2087.55,2123.2,213544141,2009.57
03-MAY-2013,2126.1,2137.6,2090.05,2117.6,258434479,2406.96
06-MAY-2013,2120.85,2150.5,2116.95,2148.85,186563634,1860.86
07-MAY-2013,2154.15,2169.55,2154.15,2166.9,189703858,1783.13
08-MAY-2013,2170.75,2177.3,2145.6,2156.55,167253072,1642.5
09-MAY-2013,2157.65,2169.7,2131.65,2136.25,192314118,2029.69
10-MAY-2013,2137.9,2146.65,2128.65,2140.45,149174282,1576.81
11-MAY-2013,2140.85,2148.3,2139.15,2147,16505938,162.03
13-MAY-2013,2145.2,2149.75,2091.7,2096.7,155605538,1539.79
14-MAY-2013,2098.9,2113.25,2091.65,2102.95,137042195,1437.17
15-MAY-2013,2109.1,2153.25,2109.1,2151,210771175,1947.84
16-MAY-2013,2147.15,2174.45,2147.15,2155.7,212599175,1853.9
17-MAY-2013,2158.95,2175.4,2146.45,2171.9,211836731,1754.61
20-MAY-2013,2177.75,2195.7,2154.55,2160.7,194439033,1843.66
21-MAY-2013,2159.4,2164.15,2130.4,2136.1,195412994,1940.97
22-MAY-2013,2142.7,2155.35,2097.8,2102.35,171044215,1816.84
23-MAY-2013,2091.4,2092.35,2032.6,2046.35,236646704,2161.4
24-MAY-2013,2054.85,2072.25,2031.1,2064.6,173353190,1436.92
27-MAY-2013,2062.65,2095.25,2060.25,2092.45,143084251,1320.96
28-MAY-2013,2094.05,2112.65,2091,2101.4,151322729,1370.76
29-MAY-2013,2103.1,2103.4,2067.3,2076.25,184145535,1471.27
30-MAY-2013,2067.6,2081.45,2061.35,2073.35,237354590,1895.72
31-MAY-2013,2071.95,2077.05,2019.9,2023.75,233580676,1544.07
03-JUN-2013,2019.85,2037.9,2012.2,2034.75,183616344,1390.14
04-JUN-2013,2038.55,2060.3,2035.35,2042.05,158810284,1509.11
05-JUN-2013,2039.2,2061.75,2036.95,2058.9,162008636,1474.94
06-JUN-2013,2046.55,2073,2041.7,2066.75,175715854,1587.58
07-JUN-2013,2064.4,2076.55,2032.55,2035.2,169397861,1530.17
10-JUN-2013,2041.4,2053.35,1990.8,1998.8,196392491,1408.1
11-JUN-2013,1985.2,1990.5,1943.65,1958.2,213399722,1670.26
12-JUN-2013,1953.25,1968.15,1930.25,1950.25,203117340,1894.77
13-JUN-2013,1927.95,1936.05,1899.8,1904.4,189287275,1558.65
14-JUN-2013,1914.15,1939.35,1914.15,1930.35,182533647,1619.08
17-JUN-2013,1932.8,1946.7,1905.7,1943.2,178032608,1364.96
18-JUN-2013,1942.4,1973.3,1939.95,1959.3,199105716,1692.49
19-JUN-2013,1959,1983.3,1958.65,1976.4,164634146,1680.81
20-JUN-2013,1954.1,1954.1,1918.85,1921.95,165398938,1413.76
21-JUN-2013,1908.7,1932.2,1862.95,1886.3,212631236,1783.56
24-JUN-2013,1881.3,1881.3,1827.85,1837.3,163113238,1401.41
25-JUN-2013,1844.3,1852.55,1802.1,1835,210683442,1773.84
26-JUN-2013,1847,1852.2,1823.1,1826.35,185101570,1609.74
27-JUN-2013,1848.45,1852.45,1818.95,1833.2,237446577,1870.92
28-JUN-2013,1855.4,1895.7,1854.2,1891.65,189026073,1423.02
01-JUL-2013,1894.65,1956.25,1894.15,1953.05,233750016,1843.53
02-JUL-2013,1951.95,1963.4,1930.8,1933.3,184690260,1756.21
03-JUL-2013,1920,1920,1874.8,1878.85,201851977,1748.17
04-JUL-2013,1888.6,1910.85,1867.45,1894.8,241011880,2022.6
05-JUL-2013,1914.9,1927.35,1885.55,1900.55,149589246,1347.89
08-JUL-2013,1888.5,1919.1,1874.25,1909.4,209019060,1980.76
09-JUL-2013,1922.95,1936.45,1912.35,1934.35,210562020,1745.97
10-JUL-2013,1941,1945.45,1915.85,1920.9,172954034,1670.95
11-JUL-2013,1939.2,1955.95,1935.9,1940.8,148512548,1313.61
12-JUL-2013,1948.3,1956.1,1927.85,1946.75,158601771,1632.28
15-JUL-2013,1943.8,1973.9,1936.65,1972,217129824,1625.95
16-JUL-2013,1941.5,1948.55,1928.8,1932.55,209052081,1541.47
17-JUL-2013,1937.8,1947.9,1890.95,1907.6,248379735,1956.36
18-JUL-2013,1916.75,1942.4,1904.5,1938.15,181175512,1560.41
19-JUL-2013,1947.1,1949.5,1922.35,1928.15,164461258,1631.38
22-JUL-2013,1915.15,1944.65,1915.15,1934.3,146449349,1371.09
23-JUL-2013,1945.15,1952.05,1936,1941.8,166673242,1563.33
24-JUL-2013,1929.3,1937.15,1901.6,1910.55,165126732,1546.19
25-JUL-2013,1902,1911.1,1888.3,1892.25,233801008,2037.46
26-JUL-2013,1900.55,1910.1,1867.65,1880.8,154633669,1444.23
29-JUL-2013,1877.05,1878,1859,1862.55,135559976,1327.24
