Date, Open, High, Low, Close, Shares Traded, Turnover
14-JAN-2019,6272.4,6274.3,6233.95,6256.65,232178087,4212.98
15-JAN-2019,6271.35,6298.3,6270.15,6290.5,244437733,4533.56
16-JAN-2019,6294.55,6325.15,6270.65,6280,250657743,5173.68
17-JAN-2019,6290.55,6304.45,6243.9,6264.45,290935408,5898.26
18-JAN-2019,6279.85,6280.35,6227.3,6233.05,232833237,4543.34
21-JAN-2019,6241.25,6248.15,6180.95,6190.15,274809310,4956.28
22-JAN-2019,6180.85,6185.55,6131.85,6182.35,277008446,5887.45
23-JAN-2019,6188.1,6209.95,6162.3,6168,251920506,5112.19
24-JAN-2019,6176.45,6182.45,6137.8,6150.05,207521424,4366.63
25-JAN-2019,6165.45,6181.1,6054.65,6068.6,377390830,6171.22
28-JAN-2019,6061.05,6061.95,5941.2,5966.5,487237038,6376.37
29-JAN-2019,5949.95,5998.1,5932.15,5979.25,418721306,6490.67
30-JAN-2019,5998,6018.65,5964.8,6013.15,369250539,6512.93
31-JAN-2019,6031.2,6052.05,5991.95,6044.65,506115916,7899.72
01-FEB-2019,6068.4,6121.55,6028.9,6076.05,419482045,7879.18
04-FEB-2019,6072.3,6072.3,5999,6035.8,547005894,7835.77
05-FEB-2019,6035.65,6059.5,5971.6,5990.95,704497715,8239.96
06-FEB-2019,5993.75,6005.95,5934.45,5996.55,784893491,9405.16
07-FEB-2019,5998.25,6058,5995.75,6037.15,835313737,8686.27
08-FEB-2019,6021.7,6036.75,5960.9,5967.4,617103785,6992.34
11-FEB-2019,5961.1,5961.7,5868.25,5875.35,433466732,6313.32
12-FEB-2019,5874.05,5897.7,5854.8,5865.7,417735907,6719.7
13-FEB-2019,5884.4,5903.55,5838.95,5849.3,409659269,6662.76
14-FEB-2019,5843.3,5877.9,5814.55,5872.7,486844426,6273.13
15-FEB-2019,5871.95,5872.6,5788.6,5824.55,390441627,5840.92
18-FEB-2019,5824.1,5830.95,5755.35,5762.95,468142620,5523.07
