Date,Close
02/01/2015 15:30:00,37.73
09/01/2015 15:30:00,39.15
16/01/2015 15:30:00,38.89
23/01/2015 15:30:00,38.43
30/01/2015 15:30:00,39.12
06/02/2015 15:30:00,42.49
13/02/2015 15:30:00,47.1
20/02/2015 15:30:00,48.07
05/03/2015 15:30:00,51.71
13/03/2015 15:30:00,50.43
20/03/2015 15:30:00,48.19
27/03/2015 15:30:00,46.06
01/04/2015 15:30:00,49.51
10/04/2015 15:30:00,55.0
17/04/2015 15:30:00,57.68
24/04/2015 15:30:00,57.5
30/04/2015 15:30:00,61.85
08/05/2015 15:30:00,60.48
15/05/2015 15:30:00,59.74
22/05/2015 15:30:00,59.28
29/05/2015 15:30:00,59.8
05/06/2015 15:30:00,59.57
12/06/2015 15:30:00,57.24
19/06/2015 15:30:00,58.18
26/06/2015 15:30:00,60.54
03/07/2015 15:30:00,67.33
10/07/2015 15:30:00,63.54
17/07/2015 15:30:00,64.32
24/07/2015 15:30:00,65.26
31/07/2015 15:30:00,76.93
07/08/2015 15:30:00,81.57
14/08/2015 15:30:00,76.89
21/08/2015 15:30:00,77.86
28/08/2015 15:30:00,73.01
04/09/2015 15:30:00,71.72
11/09/2015 15:30:00,70.69
18/09/2015 15:30:00,72.49
24/09/2015 15:30:00,77.61
01/10/2015 15:30:00,80.83
09/10/2015 15:30:00,76.85
16/10/2015 15:30:00,85.4
23/10/2015 15:30:00,85.4
30/10/2015 15:30:00,80.22
06/11/2015 15:30:00,79.05
13/11/2015 15:30:00,78.33
20/11/2015 15:30:00,81.28
27/11/2015 15:30:00,82.51
04/12/2015 15:30:00,81.1
11/12/2015 15:30:00,76.3
18/12/2015 15:30:00,81.89
24/12/2015 15:30:00,82.58
01/01/2016 15:30:00,89.82
08/01/2016 15:30:00,86.17
15/01/2016 15:30:00,78.47
22/01/2016 15:30:00,77.68
29/01/2016 15:30:00,73.31
05/02/2016 15:30:00,73.09
19/02/2016 15:30:00,66.25
26/02/2016 15:30:00,64.31
04/03/2016 15:30:00,71.42
11/03/2016 15:30:00,75.09
18/03/2016 15:30:00,77.04
23/03/2016 15:30:00,80.58
01/04/2016 15:30:00,81.86
08/04/2016 15:30:00,78.82
13/04/2016 15:30:00,82.07
22/04/2016 15:30:00,86.69
29/04/2016 15:30:00,81.55
06/05/2016 15:30:00,89.48
13/05/2016 15:30:00,90.71
20/05/2016 15:30:00,90.99
27/05/2016 15:30:00,90.42
03/06/2016 15:30:00,95.35
10/06/2016 15:30:00,91.39
17/06/2016 15:30:00,92.04
24/06/2016 15:30:00,99.18
01/07/2016 15:30:00,108.48
08/07/2016 15:30:00,107.13
15/07/2016 15:30:00,110.37
22/07/2016 15:30:00,110.75
29/07/2016 15:30:00,110.41
05/08/2016 15:30:00,110.67
12/08/2016 15:30:00,113.12
19/08/2016 15:30:00,116.47
26/08/2016 15:30:00,116.58
02/09/2016 15:30:00,112.95
09/09/2016 15:30:00,111.54
16/09/2016 15:30:00,115.98
23/09/2016 15:30:00,123.58
30/09/2016 15:30:00,121.8
07/10/2016 15:30:00,112.99
14/10/2016 15:30:00,106.41
21/10/2016 15:30:00,114.38
28/10/2016 15:30:00,118.49
04/11/2016 15:30:00,112.78
11/11/2016 15:30:00,110.21
18/11/2016 15:30:00,108.43
25/11/2016 15:30:00,114.61
02/12/2016 15:30:00,116.24
09/12/2016 15:30:00,119.42
16/12/2016 15:30:00,123.26
23/12/2016 15:30:00,121.41
30/12/2016 15:30:00,114.0
06/01/2017 15:30:00,113.29
13/01/2017 15:30:00,112.6
20/01/2017 15:30:00,114.47
27/01/2017 15:30:00,115.18
03/02/2017 15:30:00,118.5
10/02/2017 15:30:00,116.74
17/02/2017 15:30:00,116.1
23/02/2017 15:30:00,115.13
03/03/2017 15:30:00,118.9
10/03/2017 15:30:00,128.61
17/03/2017 15:30:00,129.06
24/03/2017 15:30:00,129.2
31/03/2017 15:30:00,131.99
07/04/2017 15:30:00,136.61
13/04/2017 15:30:00,140.2
21/04/2017 15:30:00,141.07
28/04/2017 15:30:00,145.24
05/05/2017 15:30:00,147.68
12/05/2017 15:30:00,149.94
19/05/2017 15:30:00,149.15
26/05/2017 15:30:00,151.35
02/06/2017 15:30:00,159.84
09/06/2017 15:30:00,170.47
16/06/2017 15:30:00,170.03
23/06/2017 15:30:00,167.66
30/06/2017 15:30:00,160.81
07/07/2017 15:30:00,157.01
14/07/2017 15:30:00,163.59
21/07/2017 15:30:00,161.86
28/07/2017 15:30:00,160.44
04/08/2017 15:30:00,155.14
11/08/2017 15:30:00,153.1
18/08/2017 15:30:00,154.17
24/08/2017 15:30:00,148.5
01/09/2017 15:30:00,153.72
08/09/2017 15:30:00,158.51
15/09/2017 15:30:00,160.98
22/09/2017 15:30:00,150.76
29/09/2017 15:30:00,150.65
06/10/2017 15:30:00,151.85
13/10/2017 15:30:00,151.96
19/10/2017 15:30:00,142.59
27/10/2017 15:30:00,149.86
03/11/2017 15:30:00,153.12
10/11/2017 15:30:00,144.98
17/11/2017 15:30:00,143.51
24/11/2017 15:30:00,140.41
01/12/2017 15:30:00,142.71
08/12/2017 15:30:00,149.16
15/12/2017 15:30:00,148.03
22/12/2017 15:30:00,156.07
29/12/2017 15:30:00,160.47
05/01/2018 15:30:00,160.89
12/01/2018 15:30:00,167.85
19/01/2018 15:30:00,162.27
25/01/2018 15:30:00,159.19
02/02/2018 15:30:00,143.65
09/02/2018 15:30:00,142.44
16/02/2018 15:30:00,135.18
23/02/2018 15:30:00,142.66
01/03/2018 15:30:00,146.44
09/03/2018 15:30:00,138.55
16/03/2018 15:30:00,137.63
23/03/2018 15:30:00,128.29
28/03/2018 15:30:00,126.51
06/04/2018 15:30:00,128.18
13/04/2018 15:30:00,130.2
20/04/2018 15:30:00,132.03
27/04/2018 15:30:00,140.07
04/05/2018 15:30:00,134.59
11/05/2018 15:30:00,132.01
18/05/2018 15:30:00,123.88
25/05/2018 15:30:00,124.52
01/06/2018 15:30:00,119.58
08/06/2018 15:30:00,123.25
15/06/2018 15:30:00,123.55
22/06/2018 15:30:00,132.46
29/06/2018 15:30:00,127.77
06/07/2018 15:30:00,127.44
13/07/2018 15:30:00,125.07
20/07/2018 15:30:00,120.2
27/07/2018 15:30:00,127.01
03/08/2018 15:30:00,131.19
10/08/2018 15:30:00,124.28
17/08/2018 15:30:00,127.64
24/08/2018 15:30:00,133.08
31/08/2018 15:30:00,135.4
07/09/2018 15:30:00,140.14
14/09/2018 15:30:00,136.89
21/09/2018 15:30:00,131.61
28/09/2018 15:30:00,121.2
05/10/2018 15:30:00,117.56
12/10/2018 15:30:00,127.1
19/10/2018 15:30:00,126.83
26/10/2018 15:30:00,116.03
02/11/2018 15:30:00,119.93
09/11/2018 15:30:00,118.47
16/11/2018 15:30:00,115.58
22/11/2018 15:30:00,118.03
30/11/2018 15:30:00,116.41
07/12/2018 15:30:00,117.59
14/12/2018 15:30:00,114.46
21/12/2018 15:30:00,113.02
28/12/2018 15:30:00,113.07
04/01/2019 15:30:00,109.26
11/01/2019 15:30:00,104.58
18/01/2019 15:30:00,106.1
25/01/2019 15:30:00,106.0
01/02/2019 15:30:00,106.25
08/02/2019 15:30:00,105.91
15/02/2019 15:30:00,106.0
22/02/2019 15:30:00,106.79
01/03/2019 15:30:00,109.94
08/03/2019 15:30:00,116.87
15/03/2019 15:30:00,117.01
22/03/2019 15:30:00,111.93
29/03/2019 15:30:00,115.21
05/04/2019 15:30:00,114.65
12/04/2019 15:30:00,114.6
18/04/2019 15:30:00,114.91
26/04/2019 15:30:00,128.61
03/05/2019 15:30:00,120.8
10/05/2019 15:30:00,119.89
17/05/2019 15:30:00,118.76
24/05/2019 15:30:00,121.98
31/05/2019 15:30:00,123.34
07/06/2019 15:30:00,122.51
14/06/2019 15:30:00,126.77
21/06/2019 15:30:00,123.3
28/06/2019 15:30:00,123.67
05/07/2019 15:30:00,122.01
12/07/2019 15:30:00,118.54
19/07/2019 15:30:00,118.61
26/07/2019 15:30:00,115.15
02/08/2019 15:30:00,108.73
09/08/2019 15:30:00,113.92
16/08/2019 15:30:00,114.48
23/08/2019 15:30:00,108.32
30/08/2019 15:30:00,113.22
06/09/2019 15:30:00,112.05
13/09/2019 15:30:00,110.06
20/09/2019 15:30:00,111.54
27/09/2019 15:30:00,110.45
