Date,Close
02/01/2015 15:30:00,33.9
09/01/2015 15:30:00,33.1
16/01/2015 15:30:00,32.4
23/01/2015 15:30:00,32.75
30/01/2015 15:30:00,32.05
06/02/2015 15:30:00,32.95
13/02/2015 15:30:00,32.05
20/02/2015 15:30:00,33
05/03/2015 15:30:00,31.35
13/03/2015 15:30:00,29.2
20/03/2015 15:30:00,29.75
27/03/2015 15:30:00,26.45
01/04/2015 15:30:00,30.15
10/04/2015 15:30:00,33.5
17/04/2015 15:30:00,31.05
24/04/2015 15:30:00,28.65
30/04/2015 15:30:00,27.7
08/05/2015 15:30:00,27.5
15/05/2015 15:30:00,26.25
22/05/2015 15:30:00,26.4
29/05/2015 15:30:00,26.2
05/06/2015 15:30:00,22.95
12/06/2015 15:30:00,21.6
19/06/2015 15:30:00,22
26/06/2015 15:30:00,22.15
03/07/2015 15:30:00,22.45
10/07/2015 15:30:00,21.5
17/07/2015 15:30:00,23.15
24/07/2015 15:30:00,22.5
31/07/2015 15:30:00,22.75
07/08/2015 15:30:00,23.2
14/08/2015 15:30:00,22.45
21/08/2015 15:30:00,20.85
28/08/2015 15:30:00,19.05
04/09/2015 15:30:00,17.85
11/09/2015 15:30:00,18.15
18/09/2015 15:30:00,18
24/09/2015 15:30:00,17.8
01/10/2015 15:30:00,19.5
09/10/2015 15:30:00,20
16/10/2015 15:30:00,20.25

23/10/2015 15:30:00,20.25
30/10/2015 15:30:00,19.6
06/11/2015 15:30:00,19.15
13/11/2015 15:30:00,19.35
20/11/2015 15:30:00,20
27/11/2015 15:30:00,21.35
04/12/2015 15:30:00,23.2
11/12/2015 15:30:00,25.3
18/12/2015 15:30:00,25.65
24/12/2015 15:30:00,24.05
01/01/2016 15:30:00,25.25
08/01/2016 15:30:00,24
15/01/2016 15:30:00,22
22/01/2016 15:30:00,21.35
29/01/2016 15:30:00,21.3
05/02/2016 15:30:00,20.85
19/02/2016 15:30:00,20.45
26/02/2016 15:30:00,21.55
04/03/2016 15:30:00,24.05
11/03/2016 15:30:00,21.05
18/03/2016 15:30:00,20.85
23/03/2016 15:30:00,21.4
01/04/2016 15:30:00,21.75
08/04/2016 15:30:00,21.6
13/04/2016 15:30:00,23.35
22/04/2016 15:30:00,22.7
29/04/2016 15:30:00,23.9
06/05/2016 15:30:00,23.4
13/05/2016 15:30:00,26.6
20/05/2016 15:30:00,23.6
27/05/2016 15:30:00,23.7
03/06/2016 15:30:00,23.8
10/06/2016 15:30:00,24.05
17/06/2016 15:30:00,24.5
24/06/2016 15:30:00,23.2
01/07/2016 15:30:00,26.1
08/07/2016 15:30:00,25.05
15/07/2016 15:30:00,24.2
22/07/2016 15:30:00,25.3
29/07/2016 15:30:00,23.95
05/08/2016 15:30:00,23.25
12/08/2016 15:30:00,23.05
19/08/2016 15:30:00,23.5
26/08/2016 15:30:00,23.7
02/09/2016 15:30:00,22.75
09/09/2016 15:30:00,23.2
16/09/2016 15:30:00,22.7
23/09/2016 15:30:00,23.15
30/09/2016 15:30:00,22.75
07/10/2016 15:30:00,23.55
14/10/2016 15:30:00,23.45
21/10/2016 15:30:00,23.8
28/10/2016 15:30:00,24.25
04/11/2016 15:30:00,24.55
11/11/2016 15:30:00,22.65
18/11/2016 15:30:00,21.25
25/11/2016 15:30:00,21.9
02/12/2016 15:30:00,22.6
09/12/2016 15:30:00,24
16/12/2016 15:30:00,22.95
23/12/2016 15:30:00,22.8
30/12/2016 15:30:00,23.9
06/01/2017 15:30:00,27
13/01/2017 15:30:00,28
20/01/2017 15:30:00,36.7
27/01/2017 15:30:00,33.55
03/02/2017 15:30:00,33.85
10/02/2017 15:30:00,37.25
17/02/2017 15:30:00,37.35
23/02/2017 15:30:00,36.25
03/03/2017 15:30:00,34.85
10/03/2017 15:30:00,33.55
17/03/2017 15:30:00,33.25
24/03/2017 15:30:00,33.75
31/03/2017 15:30:00,41.6
07/04/2017 15:30:00,38.45
13/04/2017 15:30:00,38.45
21/04/2017 15:30:00,40.9
28/04/2017 15:30:00,52.8
05/05/2017 15:30:00,59.65
12/05/2017 15:30:00,59.45
19/05/2017 15:30:00,54.35
26/05/2017 15:30:00,49.25
02/06/2017 15:30:00,48.85
09/06/2017 15:30:00,46.25
16/06/2017 15:30:00,45.35
23/06/2017 15:30:00,42.8
