Date,Close
02/01/2015 15:30:00,63.85
09/01/2015 15:30:00,59.85
16/01/2015 15:30:00,60
23/01/2015 15:30:00,59.4
30/01/2015 15:30:00,56.9
06/02/2015 15:30:00,50.15
13/02/2015 15:30:00,48.2
20/02/2015 15:30:00,49.6
05/03/2015 15:30:00,47.65
13/03/2015 15:30:00,43.55
20/03/2015 15:30:00,43.1
27/03/2015 15:30:00,41.6
01/04/2015 15:30:00,42.8
10/04/2015 15:30:00,45.1
17/04/2015 15:30:00,45.35
24/04/2015 15:30:00,42.7
30/04/2015 15:30:00,44.35
08/05/2015 15:30:00,40.5
15/05/2015 15:30:00,42.45
22/05/2015 15:30:00,42.1
29/05/2015 15:30:00,43.2
05/06/2015 15:30:00,38.25
12/06/2015 15:30:00,36.75
19/06/2015 15:30:00,37.7
26/06/2015 15:30:00,38
03/07/2015 15:30:00,37.4
10/07/2015 15:30:00,38.4
17/07/2015 15:30:00,39.65
24/07/2015 15:30:00,38.1
31/07/2015 15:30:00,38
07/08/2015 15:30:00,39
14/08/2015 15:30:00,38.65
21/08/2015 15:30:00,37.85
28/08/2015 15:30:00,35.35
04/09/2015 15:30:00,33.65
11/09/2015 15:30:00,33.85
18/09/2015 15:30:00,35.55
24/09/2015 15:30:00,36.45
01/10/2015 15:30:00,36.85
09/10/2015 15:30:00,37.3
16/10/2015 15:30:00,35.85

23/10/2015 15:30:00,35.85
30/10/2015 15:30:00,35
06/11/2015 15:30:00,30.6
13/11/2015 15:30:00,30.5
20/11/2015 15:30:00,30.85
27/11/2015 15:30:00,32.25
04/12/2015 15:30:00,31.45
11/12/2015 15:30:00,30.5
18/12/2015 15:30:00,30.8
24/12/2015 15:30:00,30.8
01/01/2016 15:30:00,31.35
08/01/2016 15:30:00,29.7
15/01/2016 15:30:00,26.55
22/01/2016 15:30:00,25.95
29/01/2016 15:30:00,25.3
05/02/2016 15:30:00,25.25
19/02/2016 15:30:00,24.05
26/02/2016 15:30:00,24
04/03/2016 15:30:00,27
11/03/2016 15:30:00,26.35
18/03/2016 15:30:00,27.9
23/03/2016 15:30:00,28.3
01/04/2016 15:30:00,31.25
08/04/2016 15:30:00,30
13/04/2016 15:30:00,30.8
22/04/2016 15:30:00,31.95
29/04/2016 15:30:00,31.3
06/05/2016 15:30:00,29.75
13/05/2016 15:30:00,29.3
20/05/2016 15:30:00,28.8
27/05/2016 15:30:00,27.55
03/06/2016 15:30:00,25.9
10/06/2016 15:30:00,26.55
17/06/2016 15:30:00,27.3
24/06/2016 15:30:00,25.75
01/07/2016 15:30:00,27.15
08/07/2016 15:30:00,27.85
15/07/2016 15:30:00,27.9
22/07/2016 15:30:00,27.1
29/07/2016 15:30:00,27.4
05/08/2016 15:30:00,27.55
12/08/2016 15:30:00,26.3
19/08/2016 15:30:00,26.65
26/08/2016 15:30:00,26.4
02/09/2016 15:30:00,26.4
09/09/2016 15:30:00,28
16/09/2016 15:30:00,27.35
23/09/2016 15:30:00,26.75
30/09/2016 15:30:00,25.45
07/10/2016 15:30:00,25.75
14/10/2016 15:30:00,25.25
21/10/2016 15:30:00,25.6
28/10/2016 15:30:00,26.65
04/11/2016 15:30:00,25.35
11/11/2016 15:30:00,25.85
18/11/2016 15:30:00,25.75
25/11/2016 15:30:00,25
02/12/2016 15:30:00,24.9
09/12/2016 15:30:00,24.65
16/12/2016 15:30:00,25.15
23/12/2016 15:30:00,24.9
30/12/2016 15:30:00,24.25
06/01/2017 15:30:00,24.55
13/01/2017 15:30:00,25.4
20/01/2017 15:30:00,25.3
27/01/2017 15:30:00,26.15
03/02/2017 15:30:00,28.2
10/02/2017 15:30:00,27.1
17/02/2017 15:30:00,26.5
23/02/2017 15:30:00,27.2
03/03/2017 15:30:00,27
10/03/2017 15:30:00,26.5
17/03/2017 15:30:00,26.8
24/03/2017 15:30:00,26.75
31/03/2017 15:30:00,26.65
07/04/2017 15:30:00,27.35
13/04/2017 15:30:00,28.5
21/04/2017 15:30:00,28.15
28/04/2017 15:30:00,29
05/05/2017 15:30:00,30.6
12/05/2017 15:30:00,29.95
19/05/2017 15:30:00,27.6
26/05/2017 15:30:00,25.9
02/06/2017 15:30:00,26.15
09/06/2017 15:30:00,25.45
16/06/2017 15:30:00,26.7
23/06/2017 15:30:00,25.05
30/06/2017 15:30:00,24.7
07/07/2017 15:30:00,25.4
14/07/2017 15:30:00,25.4
21/07/2017 15:30:00,24.8
28/07/2017 15:30:00,25.35
04/08/2017 15:30:00,24.55
11/08/2017 15:30:00,22.5
18/08/2017 15:30:00,22.6
24/08/2017 15:30:00,22.95
01/09/2017 15:30:00,22.7
08/09/2017 15:30:00,22.6
15/09/2017 15:30:00,23.5
22/09/2017 15:30:00,22.8
29/09/2017 15:30:00,22.2
06/10/2017 15:30:00,22.4
13/10/2017 15:30:00,22.15
19/10/2017 20:00:00,22.2
27/10/2017 15:30:00,25.9
03/11/2017 15:30:00,26.15
10/11/2017 15:30:00,24.75
17/11/2017 15:30:00,23.3
24/11/2017 15:30:00,24.25
01/12/2017 15:30:00,23.75
08/12/2017 15:30:00,23.35
15/12/2017 15:30:00,22.7
22/12/2017 15:30:00,22.4
29/12/2017 15:30:00,22.1
05/01/2018 15:30:00,24.15
12/01/2018 15:30:00,23.5
19/01/2018 15:30:00,23.15
25/01/2018 15:30:00,23.3
02/02/2018 15:30:00,21.1
09/02/2018 15:30:00,20.9
16/02/2018 15:30:00,20.35
23/02/2018 15:30:00,19.6
01/03/2018 15:30:00,19.65
09/03/2018 15:30:00,18.15
16/03/2018 15:30:00,18.15
23/03/2018 15:30:00,17.65
28/03/2018 15:30:00,17.45
06/04/2018 15:30:00,17.95
13/04/2018 15:30:00,18.1
20/04/2018 15:30:00,17.8
27/04/2018 15:30:00,18.3
