Date,Close
01/04/2022 15:30:00,46.25
08/04/2022 15:30:00,50.61
13/04/2022 15:30:00,52.18
22/04/2022 15:30:00,50.75
29/04/2022 15:30:00,49.64
06/05/2022 15:30:00,48.21
13/05/2022 15:30:00,44.61
20/05/2022 15:30:00,44.32
27/05/2022 15:30:00,45.57
03/06/2022 15:30:00,45.79
10/06/2022 15:30:00,46.25
17/06/2022 15:30:00,42.86
24/06/2022 15:30:00,48.54
01/07/2022 15:30:00,50.04
08/07/2022 15:30:00,52.64
15/07/2022 15:30:00,57.07
22/07/2022 15:30:00,57.57
29/07/2022 15:30:00,55.21
05/08/2022 15:30:00,56.75
12/08/2022 15:30:00,55.93
19/08/2022 15:30:00,55.71
26/08/2022 15:30:00,57.11
02/09/2022 15:30:00,58.43
09/09/2022 15:30:00,65.07
16/09/2022 15:30:00,62
23/09/2022 15:30:00,61.43
30/09/2022 15:30:00,62.5
07/10/2022 15:30:00,62.18
14/10/2022 15:30:00,63.39
21/10/2022 15:30:00,61.14
28/10/2022 15:30:00,60.25
04/11/2022 15:30:00,57.86
11/11/2022 15:30:00,59.32
18/11/2022 15:30:00,59.05
25/11/2022 15:30:00,57.05
02/12/2022 15:30:00,60.2
09/12/2022 15:30:00,60.05
16/12/2022 15:30:00,58.9
23/12/2022 15:30:00,55.9
30/12/2022 15:30:00,58.3
06/01/2023 15:30:00,55.1
13/01/2023 15:30:00,52
20/01/2023 15:30:00,51.2
27/01/2023 15:30:00,51.2
03/02/2023 15:30:00,52.35
10/02/2023 15:30:00,53.7
17/02/2023 15:30:00,50.8
24/02/2023 15:30:00,49.85
03/03/2023 15:30:00,49.7
10/03/2023 15:30:00,49.1
17/03/2023 15:30:00,46.25
24/03/2023 15:30:00,47.65
31/03/2023 15:30:00,48.25
06/04/2023 15:30:00,51.05
13/04/2023 15:30:00,50.7
21/04/2023 15:30:00,50.45
28/04/2023 15:30:00,53.75
05/05/2023 15:30:00,53.7
12/05/2023 15:30:00,55.85
19/05/2023 15:30:00,54.95
26/05/2023 15:30:00,56.25
02/06/2023 15:30:00,58.35
09/06/2023 15:30:00,58.2
16/06/2023 15:30:00,57.7
23/06/2023 15:30:00,56.55
30/06/2023 15:30:00,57.7
07/07/2023 15:30:00,58.35
14/07/2023 15:30:00,58.05
21/07/2023 15:30:00,57.9
28/07/2023 15:30:00,58.85
04/08/2023 15:30:00,60.5
11/08/2023 15:30:00,59.2
18/08/2023 15:30:00,59.55
25/08/2023 15:30:00,59.6
01/09/2023 15:30:00,65.95
08/09/2023 15:30:00,66.7
15/09/2023 15:30:00,65.7
22/09/2023 15:30:00,63.75
29/09/2023 15:30:00,64.45
06/10/2023 15:30:00,61.9
13/10/2023 15:30:00,62
20/10/2023 15:30:00,63.05
27/10/2023 15:30:00,61.2
03/11/2023 15:30:00,58.3
10/11/2023 15:30:00,58.75
17/11/2023 15:30:00,59.5
24/11/2023 15:30:00,60.15
01/12/2023 15:30:00,61.35
08/12/2023 15:30:00,61.9
15/12/2023 15:30:00,60.85
22/12/2023 15:30:00,61.45
29/12/2023 15:30:00,61.75
05/01/2024 15:30:00,65.65
12/01/2024 15:30:00,63.1
25/01/2024 15:30:00,60.95
02/02/2024 15:30:00,69.4
09/02/2024 15:30:00,68.95
16/02/2024 15:30:00,72.35
23/02/2024 15:30:00,70.25
01/03/2024 15:30:00,67.7
07/03/2024 15:30:00,67.7
15/03/2024 15:30:00,62.4
22/03/2024 15:30:00,63.95
28/03/2024 15:30:00,66.1
05/04/2024 15:30:00,70.35
12/04/2024 15:30:00,69.6
19/04/2024 15:30:00,70.15
26/04/2024 15:30:00,69.55
03/05/2024 15:30:00,68.45
10/05/2024 15:30:00,67.5
24/05/2024 15:30:00,68.05
31/05/2024 15:30:00,67.65
07/06/2024 15:30:00,67.9
14/06/2024 15:30:00,73.91
21/06/2024 15:30:00,76.09
28/06/2024 15:30:00,75.31
05/07/2024 15:30:00,73.39
12/07/2024 15:30:00,74.09
19/07/2024 15:30:00,72.59
26/07/2024 15:30:00,75.21
02/08/2024 15:30:00,73.02
09/08/2024 15:30:00,71.26
16/08/2024 15:30:00,70.48
23/08/2024 15:30:00,70.8
30/08/2024 15:30:00,70.43
06/09/2024 15:30:00,69.91
13/09/2024 15:30:00,69.52
20/09/2024 15:30:00,69.18
27/09/2024 15:30:00,72.44
04/10/2024 15:30:00,67.46
11/10/2024 15:30:00,65.93
18/10/2024 15:30:00,64.14
25/10/2024 15:30:00,62.41
08/11/2024 15:30:00,64.01
14/11/2024 15:30:00,60.93
22/11/2024 15:30:00,61.84
29/11/2024 15:30:00,63.99
06/12/2024 15:30:00,63.06
13/12/2024 15:30:00,63.9
20/12/2024 15:30:00,59.94
27/12/2024 15:30:00,58.43
03/01/2025 15:30:00,59.47
10/01/2025 15:30:00,56.14
17/01/2025 15:30:00,56.53
24/01/2025 15:30:00,55.01
07/02/2025 15:30:00,55.5
14/02/2025 15:30:00,49.87
21/02/2025 15:30:00,49.1
28/02/2025 15:30:00,47
07/03/2025 15:30:00,52.55
13/03/2025 15:30:00,50.8
